Fraction,N_pos,Correct,Total,Acc
0.001,4000,4131,8000,0.5057740918767055
0.002,4000,4017,8000,0.4915184940734373
0.005,4000,4176,8000,0.5114036704464485
0.01,4000,5127,8000,0.6306981288621587
0.02,4000,6584,8000,0.8149035841259389
0.05,4000,7084,8000,0.8787453432890441
0.1,4000,7278,8000,0.903671577353074
0.2,4000,7444,8000,0.9251054298131908
0.3,4000,7461,8000,0.9273074795302166
0.4,4000,7493,8000,0.9314566952553205
0.5,4000,7549,8000,0.9387323322689073
0.6,4000,7580,8000,0.9427687541281331
0.9,4000,7608,8000,0.9464208265151317
1.0,4000,7615,8000,0.9473347309718463
