Fraction,N_pos,Correct,Total,Acc
0.001,4000,4131,8000,0.5022404534506769
0.002,4000,4017,8000,0.4879829920972583
0.005,4000,4176,8000,0.5078715605953874
0.01,4000,5127,8000,0.6273058265010266
0.02,4000,6584,8000,0.8122047788345933
0.05,4000,7084,8000,0.8764937910421814
0.1,4000,7278,8000,0.9016454364707689
0.2,4000,7444,8000,0.9233072397510376
0.3,4000,7461,8000,0.925534972690875
0.4,4000,7493,8000,0.9297339269897058
0.5,4000,7549,8000,0.9371014284247566
0.6,4000,7580,8000,0.9411916721708592
0.9,4000,7608,8000,0.9448944062844151
1.0,4000,7615,8000,0.9458213079539939
