Fraction,N_pos,Correct,Total,Acc
0.001,4000,4269,8000,0.5195148799612177
0.002,4000,4000,8000,0.48585786437611295
0.005,4000,4000,8000,0.48585786437611295
0.01,4000,4000,8000,0.48585786437611295
0.02,4000,4000,8000,0.48585786437611295
0.05,4000,4150,8000,0.5046178126839831
0.1,4000,5034,8000,0.6155885387173696
0.2,4000,6737,8000,0.8318118827455617
0.3,4000,7326,8000,0.9078936936159497
0.4,4000,7549,8000,0.9371014284247566
0.5,4000,7539,8000,0.9357838326146977
0.6,4000,7589,8000,0.9423809238084684
0.9,4000,7607,8000,0.9447619703674346
1.0,4000,7615,8000,0.9458213079539939
