Fraction,N_pos,Correct,Total,Acc
0.001,4000,4425,8000,0.5425784392258926
0.002,4000,4046,8000,0.4951440996669596
0.005,4000,4351,8000,0.5333093129432914
0.01,4000,4953,8000,0.6088238274712674
0.02,4000,5359,8000,0.6598993236844142
0.05,4000,5677,8000,0.6999955757326334
0.1,4000,6563,8000,0.8122317858479932
0.2,4000,7221,8000,0.8963359700339861
0.3,4000,7392,8000,0.9183788279339115
0.4,4000,7517,8000,0.9345725325311194
0.5,4000,7563,8000,0.9405543704141263
0.6,4000,7574,8000,0.9419869655811435
0.9,4000,7605,8000,0.9460291650139828
1.0,4000,7615,8000,0.9473347309718463
