Fraction,N_pos,Correct,Total,Acc
0.001,4000,4000,8000,0.4929289321879738
0.002,4000,4000,8000,0.4929289321879738
0.005,4000,4485,8000,0.5536061025175985
0.01,4000,4064,8000,0.500929837343055
0.02,4000,4000,8000,0.4929289321879738
0.05,4000,4000,8000,0.4929289321879738
0.1,4000,4046,8000,0.49867939977798315
0.2,4000,6826,8000,0.8482457131773837
0.3,4000,7505,8000,0.9347179529646328
0.4,4000,7509,8000,0.9352308839647542
0.5,4000,7583,8000,0.944731499264356
0.6,4000,7613,8000,0.9485907818216429
0.9,4000,7598,8000,0.9466605036818428
1.0,4000,7615,8000,0.9488481539937729
