Fraction,N_pos,Correct,Total,Acc
0.001,4000,4000,8000,0.49646446609412803
0.002,4000,4000,8000,0.49646446609412803
0.005,4000,4485,8000,0.5571155512585324
0.01,4000,4064,8000,0.5044649186714323
0.02,4000,4000,8000,0.49646446609412803
0.05,4000,4000,8000,0.49646446609412803
0.1,4000,4046,8000,0.5022146998888374
0.2,4000,6826,8000,0.8507478567294874
0.3,4000,7505,8000,0.9364215799521934
0.4,4000,7509,8000,0.9369280670679871
0.5,4000,7583,8000,0.9463032496321786
0.6,4000,7613,8000,0.9501079343014116
0.9,4000,7598,8000,0.9482052518409048
1.0,4000,7615,8000,0.950361577031902
