Fraction,N_pos,Correct,Total,Acc
0.001,4000,4425,8000,0.5390629179272026
0.002,4000,4046,8000,0.49160879955580583
0.005,4000,4351,8000,0.5297874172601028
0.01,4000,4953,8000,0.6053901032946735
0.02,4000,5359,8000,0.656574098245925
0.05,4000,5677,8000,0.6967857676444246
0.1,4000,6563,8000,0.8095173811310822
0.2,4000,7221,8000,0.8942396266475766
0.3,4000,7392,8000,0.9165049999861776
0.4,4000,7517,8000,0.9328883401631699
0.5,4000,7563,8000,0.9389474927562075
0.6,4000,7574,8000,0.9403992874415846
0.9,4000,7605,8000,0.9444972200186272
1.0,4000,7615,8000,0.9458213079539939
