Fraction,N_pos,Correct,Total,Acc
0.001,4000,4001,8000,0.485982864818415
0.002,4000,4000,8000,0.48585786437611295
0.005,4000,4000,8000,0.48585786437611295
0.01,4000,4000,8000,0.48585786437611295
0.02,4000,4000,8000,0.48585786437611295
0.05,4000,3870,8000,0.4696153368606382
0.1,4000,3463,8000,0.41886088613178885
0.2,4000,6688,8000,0.8255270252555427
0.3,4000,7396,8000,0.917027396725809
0.4,4000,7538,8000,0.9356521253422214
0.5,4000,7575,8000,0.940531326985388
0.6,4000,7592,8000,0.9427776404136516
0.9,4000,7600,8000,0.943835635044063
1.0,4000,7615,8000,0.9458213079539939
