Fraction,N_pos,Correct,Total,Acc
0.001,4000,4000,8000,0.48585786437611295
0.002,4000,4000,8000,0.48585786437611295
0.005,4000,4485,8000,0.5465872050347175
0.01,4000,4064,8000,0.4938596746850755
0.02,4000,4000,8000,0.48585786437611295
0.05,4000,4000,8000,0.48585786437611295
0.1,4000,4046,8000,0.49160879955580583
0.2,4000,6826,8000,0.8432414262168088
0.3,4000,7505,8000,0.9313106989895003
0.4,4000,7509,8000,0.9318365177582687
0.5,4000,7583,8000,0.9415879985287111
0.6,4000,7613,8000,0.9455564768620992
0.9,4000,7598,8000,0.9435710073636472
1.0,4000,7615,8000,0.9458213079539939
