Fraction,N_pos,Correct,Total,Acc
0.001,4000,4425,8000,0.5496094845821746
0.002,4000,4046,8000,0.5022146998888374
0.005,4000,4351,8000,0.5403531043151948
0.01,4000,4953,8000,0.6156912758239347
0.02,4000,5359,8000,0.6665497745610947
0.05,4000,5677,8000,0.706415191911322
0.1,4000,6563,8000,0.8176605952828286
0.2,4000,7221,8000,0.9005286569851353
0.3,4000,7392,8000,0.9221264838294396
0.4,4000,7517,8000,0.9379409172670014
0.5,4000,7563,8000,0.9437681257299695
0.6,4000,7574,8000,0.9451623218603834
0.9,4000,7605,8000,0.949093055004652
1.0,4000,7615,8000,0.950361577031902
