Fraction,N_pos,Correct,Total,Acc
0.001,4000,4040,8000,0.5014651114901124
0.002,4000,4000,8000,0.49646446609412803
0.005,4000,4060,8000,0.5039649728755995
0.01,4000,4322,8000,0.5367259469037872
0.02,4000,4965,8000,0.6171939031221557
0.05,4000,5081,8000,0.6317214396285104
0.1,4000,6231,8000,0.7759404750437652
0.2,4000,6983,8000,0.8705195357742405
0.3,4000,7406,8000,0.9238961266152931
0.4,4000,7504,8000,0.9362948723064813
0.5,4000,7547,8000,0.9417407018421537
0.6,4000,7595,8000,0.9478248046997968
0.9,4000,7626,8000,0.9517572770267047
1.0,4000,7615,8000,0.950361577031902
