Fraction,N_pos,Correct,Total,Acc
0.001,4000,4269,8000,0.5230424099708303
0.002,4000,4000,8000,0.48939339828226086
0.005,4000,4000,8000,0.48939339828226086
0.01,4000,4000,8000,0.48939339828226086
0.02,4000,4000,8000,0.48939339828226086
0.05,4000,4150,8000,0.5081508602101709
0.1,4000,5034,8000,0.6190039046231212
0.2,4000,6737,8000,0.8343901620594222
0.3,4000,7326,8000,0.909857770211972
0.4,4000,7549,8000,0.9387323322689073
0.5,4000,7539,8000,0.9374316244611046
0.6,4000,7589,8000,0.9439419428571735
0.9,4000,7607,8000,0.9462902338034666
1.0,4000,7615,8000,0.9473347309718463
