Fraction,N_pos,Correct,Total,Acc
0.001,4000,4269,8000,0.5300974699903231
0.002,4000,4000,8000,0.49646446609412803
0.005,4000,4000,8000,0.49646446609412803
0.01,4000,4000,8000,0.49646446609412803
0.02,4000,4000,8000,0.49646446609412803
0.05,4000,4150,8000,0.51521695773127
0.1,4000,5034,8000,0.6258346385011658
0.2,4000,6737,8000,0.839546720686348
0.3,4000,7326,8000,0.9137859234039871
0.4,4000,7549,8000,0.9419941399572221
0.5,4000,7539,8000,0.9407272081536858
0.6,4000,7589,8000,0.9470639809575487
0.9,4000,7607,8000,0.9493467606755338
1.0,4000,7615,8000,0.950361577031902
