Fraction,N_pos,Correct,Total,Acc
0.001,4000,4040,8000,0.4979297476423307
0.002,4000,4000,8000,0.4929289321879738
0.005,4000,4060,8000,0.500429835175592
0.01,4000,4322,8000,0.5332018838142208
0.02,4000,4965,8000,0.6137627981574367
0.05,4000,5081,8000,0.6283174560746317
0.1,4000,6231,8000,0.7730059500875202
0.2,4000,6983,8000,0.868164071548499
0.3,4000,7406,8000,0.9220422530872472
0.4,4000,7504,8000,0.9345896420413424
0.5,4000,7547,8000,0.9401064036842939
0.6,4000,7595,8000,0.9462746093996105
0.9,4000,7626,8000,0.9502645540534136
1.0,4000,7615,8000,0.9488481539937729
