Fraction,N_pos,Correct,Total,Acc
0.001,4000,4001,8000,0.4965894662044313
0.002,4000,4000,8000,0.49646446609412803
0.005,4000,4000,8000,0.49646446609412803
0.01,4000,4000,8000,0.49646446609412803
0.02,4000,4000,8000,0.49646446609412803
0.05,4000,3870,8000,0.48021634109454514
0.1,4000,3463,8000,0.42937147153300376
0.2,4000,6688,8000,0.8333817563139453
0.3,4000,7396,8000,0.9226318492731035
0.4,4000,7538,8000,0.9406005313355574
0.5,4000,7575,8000,0.9452890818135055
0.6,4000,7592,8000,0.9474445097713368
0.9,4000,7600,8000,0.9484589510321252
1.0,4000,7615,8000,0.950361577031902
