Fraction,N_pos,Correct,Total,Acc
0.001,4000,4131,8000,0.5128413750416396
0.002,4000,4017,8000,0.4985894980245782
0.005,4000,4176,8000,0.5184678901487139
0.01,4000,5127,8000,0.6374827335858836
0.02,4000,6584,8000,0.8203011947088928
0.05,4000,7084,8000,0.8832484478102377
0.1,4000,7278,8000,0.907723859117681
0.2,4000,7444,8000,0.9287018099377509
0.3,4000,7461,8000,0.9308524932542346
0.4,4000,7493,8000,0.9349022318355289
0.5,4000,7549,8000,0.9419941399572221
0.6,4000,7580,8000,0.9459229180427065
0.9,4000,7608,8000,0.9494736669765534
1.0,4000,7615,8000,0.950361577031902
