Fraction,N_pos,Correct,Total,Acc
0.001,4000,4001,8000,0.4930539324089869
0.002,4000,4000,8000,0.4929289321879738
0.005,4000,4000,8000,0.4929289321879738
0.01,4000,4000,8000,0.4929289321879738
0.02,4000,4000,8000,0.4929289321879738
0.05,4000,3870,8000,0.47668267116332
0.1,4000,3463,8000,0.42586794306588033
0.2,4000,6688,8000,0.8307635126278218
0.3,4000,7396,8000,0.9207636983986222
0.4,4000,7538,8000,0.9389510626710953
0.5,4000,7575,8000,0.9437031635187095
0.6,4000,7592,8000,0.9458888866521027
0.9,4000,7600,8000,0.9469178457027663
1.0,4000,7615,8000,0.9488481539937729
