Fraction,N_pos,Correct,Total,Acc
0.001,4000,4001,8000,0.48951839861354124
0.002,4000,4000,8000,0.48939339828226086
0.005,4000,4000,8000,0.48939339828226086
0.01,4000,4000,8000,0.48939339828226086
0.02,4000,4000,8000,0.48939339828226086
0.05,4000,3870,8000,0.47314900369883045
0.1,4000,3463,8000,0.4223644145989663
0.2,4000,6688,8000,0.8281452689415926
0.3,4000,7396,8000,0.918895547557961
0.4,4000,7538,8000,0.9373015940066711
0.5,4000,7575,8000,0.9421172452489364
0.6,4000,7592,8000,0.9443332635328809
0.9,4000,7600,8000,0.9453767403734176
1.0,4000,7615,8000,0.9473347309718463
