Fraction,N_pos,Correct,Total,Acc
0.001,4000,4040,8000,0.4943943837949359
0.002,4000,4000,8000,0.48939339828226086
0.005,4000,4060,8000,0.49689469747567533
0.01,4000,4322,8000,0.5296778229615595
0.02,4000,4965,8000,0.6103316931931527
0.05,4000,5081,8000,0.6249134725202234
0.1,4000,6231,8000,0.7700714251312588
0.2,4000,6983,8000,0.8658086073228964
0.3,4000,7406,8000,0.9201883795920681
0.4,4000,7504,8000,0.9328844117762102
0.5,4000,7547,8000,0.9384721055264542
0.6,4000,7595,8000,0.9447244140994266
0.9,4000,7626,8000,0.9487718310801176
1.0,4000,7615,8000,0.9473347309718463
