Fraction,N_pos,Correct,Total,Acc
0.001,4000,4040,8000,0.4908590199475327
0.002,4000,4000,8000,0.48585786437611295
0.005,4000,4060,8000,0.49335955977559626
0.01,4000,4322,8000,0.5261537626756668
0.02,4000,4965,8000,0.6069005882284478
0.05,4000,5081,8000,0.6215094889661698
0.1,4000,6231,8000,0.7671369001750683
0.2,4000,6983,8000,0.8634531430970986
0.3,4000,7406,8000,0.9183345061051048
0.4,4000,7504,8000,0.9311791815110494
0.5,4000,7547,8000,0.9368378073685956
0.6,4000,7595,8000,0.9431742187991919
0.9,4000,7626,8000,0.9472791081068254
1.0,4000,7615,8000,0.9458213079539939
